method,dataset,model_a,model_b,similarity_score,test_loss_diff
graph_structural,breast_cancer,C1,C2,1.0,0.006813233718276107
graph_structural,breast_cancer,C1,C3,0.55,0.011759002692997497
graph_structural,breast_cancer,C1,C4,0.55,0.0183396451175213
graph_structural,breast_cancer,C1,C5,0.55,0.015014234930276898
graph_structural,breast_cancer,C1,C6,0.45,0.018192327581346097
graph_structural,breast_cancer,C1,C7,0.45,0.006509891711175497
graph_structural,breast_cancer,C1,C8,0.45,0.0227847364731133
graph_structural,breast_cancer,C1,C9,0.38095238095238093,0.0115466327406466
graph_structural,breast_cancer,C1,C10,0.38095238095238093,0.021567256189882804
graph_structural,breast_cancer,C2,C3,0.55,0.00494576897472139
graph_structural,breast_cancer,C2,C4,0.55,0.011526411399245193
graph_structural,breast_cancer,C2,C5,0.55,0.008201001212000791
graph_structural,breast_cancer,C2,C6,0.45,0.01137909386306999
graph_structural,breast_cancer,C2,C7,0.45,0.0003033420071006099
graph_structural,breast_cancer,C2,C8,0.45,0.01597150275483719
graph_structural,breast_cancer,C2,C9,0.38095238095238093,0.004733399022370494
graph_structural,breast_cancer,C2,C10,0.38095238095238093,0.014754022471606697
graph_structural,breast_cancer,C3,C4,1.0,0.006580642424523803
graph_structural,breast_cancer,C3,C5,1.0,0.0032552322372794013
graph_structural,breast_cancer,C3,C6,0.8166666666666667,0.0064333248883486
graph_structural,breast_cancer,C3,C7,0.8166666666666667,0.005249110981822
graph_structural,breast_cancer,C3,C8,0.8166666666666667,0.011025733780115801
graph_structural,breast_cancer,C3,C9,0.6904761904761905,0.0002123699523508965
graph_structural,breast_cancer,C3,C10,0.6904761904761905,0.009808253496885307
graph_structural,breast_cancer,C4,C5,1.0,0.0033254101872444014
graph_structural,breast_cancer,C4,C6,0.8166666666666667,0.00014731753617520243
graph_structural,breast_cancer,C4,C7,0.8166666666666667,0.011829753406345803
graph_structural,breast_cancer,C4,C8,0.8166666666666667,0.0044450913555919985
graph_structural,breast_cancer,C4,C9,0.6904761904761905,0.006793012376874699
graph_structural,breast_cancer,C4,C10,0.6904761904761905,0.003227611072361504
graph_structural,breast_cancer,C5,C6,0.8166666666666667,0.003178092651069199
graph_structural,breast_cancer,C5,C7,0.8166666666666667,0.008504343219101401
graph_structural,breast_cancer,C5,C8,0.8166666666666667,0.0077705015428364
graph_structural,breast_cancer,C5,C9,0.6904761904761905,0.0034676021896302978
graph_structural,breast_cancer,C5,C10,0.6904761904761905,0.006553021259605905
graph_structural,breast_cancer,C6,C7,1.0,0.0116824358701706
graph_structural,breast_cancer,C6,C8,1.0,0.004592408891767201
graph_structural,breast_cancer,C6,C9,0.8452380952380952,0.006645694840699497
graph_structural,breast_cancer,C6,C10,0.8452380952380952,0.0033749286085367064
graph_structural,breast_cancer,C7,C8,1.0,0.0162748447619378
graph_structural,breast_cancer,C7,C9,0.8452380952380952,0.0050367410294711035
graph_structural,breast_cancer,C7,C10,0.8452380952380952,0.015057364478707307
graph_structural,breast_cancer,C8,C9,0.8452380952380952,0.011238103732466698
graph_structural,breast_cancer,C8,C10,0.8452380952380952,0.0012174802832304946
graph_structural,breast_cancer,C9,C10,1.0,0.010020623449236203
graph_structural_with_params,breast_cancer,C1,C2,0.6666666666666666,0.006813233718276107
graph_structural_with_params,breast_cancer,C1,C3,0.45,0.011759002692997497
graph_structural_with_params,breast_cancer,C1,C4,0.35,0.0183396451175213
graph_structural_with_params,breast_cancer,C1,C5,0.35,0.015014234930276898
graph_structural_with_params,breast_cancer,C1,C6,0.3666666666666667,0.018192327581346097
graph_structural_with_params,breast_cancer,C1,C7,0.2833333333333333,0.006509891711175497
graph_structural_with_params,breast_cancer,C1,C8,0.2833333333333333,0.0227847364731133
graph_structural_with_params,breast_cancer,C1,C9,0.23809523809523808,0.0115466327406466
graph_structural_with_params,breast_cancer,C1,C10,0.23809523809523808,0.021567256189882804
graph_structural_with_params,breast_cancer,C2,C3,0.35,0.00494576897472139
graph_structural_with_params,breast_cancer,C2,C4,0.45,0.011526411399245193
graph_structural_with_params,breast_cancer,C2,C5,0.35,0.008201001212000791
graph_structural_with_params,breast_cancer,C2,C6,0.2833333333333333,0.01137909386306999
graph_structural_with_params,breast_cancer,C2,C7,0.3666666666666667,0.0003033420071006099
graph_structural_with_params,breast_cancer,C2,C8,0.2833333333333333,0.01597150275483719
graph_structural_with_params,breast_cancer,C2,C9,0.30952380952380953,0.004733399022370494
graph_structural_with_params,breast_cancer,C2,C10,0.30952380952380953,0.014754022471606697
graph_structural_with_params,breast_cancer,C3,C4,0.7,0.006580642424523803
graph_structural_with_params,breast_cancer,C3,C5,0.7,0.0032552322372794013
graph_structural_with_params,breast_cancer,C3,C6,0.5666666666666667,0.0064333248883486
graph_structural_with_params,breast_cancer,C3,C7,0.48333333333333334,0.005249110981822
graph_structural_with_params,breast_cancer,C3,C8,0.48333333333333334,0.011025733780115801
graph_structural_with_params,breast_cancer,C3,C9,0.47619047619047616,0.0002123699523508965
graph_structural_with_params,breast_cancer,C3,C10,0.40476190476190477,0.009808253496885307
graph_structural_with_params,breast_cancer,C4,C5,0.7,0.0033254101872444014
graph_structural_with_params,breast_cancer,C4,C6,0.48333333333333334,0.00014731753617520243
graph_structural_with_params,breast_cancer,C4,C7,0.5666666666666667,0.011829753406345803
graph_structural_with_params,breast_cancer,C4,C8,0.48333333333333334,0.0044450913555919985
graph_structural_with_params,breast_cancer,C4,C9,0.5476190476190476,0.006793012376874699
graph_structural_with_params,breast_cancer,C4,C10,0.47619047619047616,0.003227611072361504
graph_structural_with_params,breast_cancer,C5,C6,0.48333333333333334,0.003178092651069199
graph_structural_with_params,breast_cancer,C5,C7,0.48333333333333334,0.008504343219101401
graph_structural_with_params,breast_cancer,C5,C8,0.5666666666666667,0.0077705015428364
graph_structural_with_params,breast_cancer,C5,C9,0.47619047619047616,0.0034676021896302978
